dem,ind,rep,ideo,female,edu,collegeabove,age,pk_medmarij,pkT_medmarij,pk_nafta,pkF_nafta,pk_parisagree,pkT_parisagree,pk_guantanamo,pkF_guantanamo,pk_deficit2018,pkF_deficit2018,pk_gdpgrow,pkT_gdpgrow
1,0,0,4,0,5,1,50,1,1,1,1,0,-1,1,2,0,-1,0,-1
1,0,0,1,1,5,1,59,0,-1,NA,NA,1,2,0,NA,0,-1,NA,NA
1,0,0,2,1,2,0,18,1,1,1,2,1,1,1,2,1,1,1,1
0,0,1,5,1,5,1,56,1,1,1,1,1,1,1,1,0,-1,1,1
0,0,1,6,1,6,1,29,1,1,0,-1,0,-1,1,1,0,-1,1,1
1,0,0,3,0,6,1,47,0,-1,1,2,0,-2,1,2,NA,NA,1,1
0,0,1,6,1,7,1,44,0,-2,1,2,1,1,1,2,0,-1,1,2
0,1,0,4,0,3,0,62,1,2,0,-1,1,1,0,-2,1,1,1,1
1,0,0,1,0,5,1,7,0,-2,1,2,0,-2,1,2,1,2,1,2
0,1,0,4,1,3,0,47,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,NA,NA
0,0,1,6,1,5,1,52,1,1,0,-1,NA,NA,1,2,0,-1,1,1
1,0,0,0,1,3,0,21,1,1,NA,NA,1,2,1,2,0,-1,1,1
1,0,0,2,1,5,1,40,1,1,1,1,1,1,0,-2,0,-1,1,2
0,0,1,6,0,6,1,20,1,1,1,2,0,-1,1,2,0,-1,1,2
0,0,1,4,0,6,1,37,NA,NA,1,2,0,-1,0,-2,0,-1,NA,NA
1,0,0,3,0,5,1,18,1,1,1,2,0,-2,1,2,1,1,1,1
0,1,0,0,1,4,0,60,1,1,NA,NA,1,2,1,1,0,-1,1,1
0,0,1,5,1,5,1,54,1,2,NA,NA,0,-1,0,-2,0,-1,0,-1
0,1,0,4,0,5,1,50,1,1,0,-1,1,1,0,-2,0,-1,1,2
1,0,0,0,1,2,0,16,0,-1,NA,NA,1,1,0,-2,1,1,1,1
0,0,1,6,1,5,1,57,0,-2,1,1,1,2,0,-1,0,-1,1,1
0,0,0,5,1,5,1,45,0,-1,1,1,NA,NA,1,2,NA,NA,1,1
1,0,0,2,0,6,1,52,1,2,1,2,1,2,1,2,1,2,0,-1
1,0,0,0,1,5,1,58,1,1,0,-1,1,2,1,1,0,-1,0,-1
0,1,0,4,1,3,0,40,1,1,NA,NA,NA,NA,0,-2,NA,NA,NA,NA
1,0,0,1,1,5,1,29,0,-1,1,1,NA,NA,1,2,NA,NA,NA,NA
1,0,0,3,0,2,0,22,1,1,1,1,1,1,1,1,1,1,0,-1
1,0,0,1,0,5,1,57,0,-1,1,1,0,-1,0,-2,0,-1,0,-1
1,0,0,0,1,6,1,55,0,-1,1,1,1,1,1,2,1,1,1,1
0,0,0,3,1,3,0,54,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,1,5,0,5,1,58,0,-2,1,2,1,2,NA,NA,0,-1,0,-1
1,0,0,0,0,4,0,31,1,1,1,2,1,1,1,2,NA,NA,1,2
0,0,1,6,0,5,1,18,1,1,1,2,1,1,1,2,0,-1,1,2
1,0,0,7,0,3,0,53,0,-2,NA,NA,1,1,1,2,0,-1,1,1
1,0,0,0,0,5,1,50,0,-1,0,-1,1,2,1,2,0,-2,0,-2
1,0,0,3,0,6,1,34,0,-1,1,1,0,-1,1,1,NA,NA,1,1
